Edad,Ingreso_Mensual,Monto_Credito,Plazo_Meses,Atrasos_Previos,Cuota_Estimada,Ratio_Deuda_Ingreso,Perfil_Historico,Morosidad,Ingreso_Normalizado
26,13167.87,62224.5,36,1,1728.46,13.13,Confiable,0,0.8642776329272333
27,11370.63,95070.86,24,4,3961.29,34.84,Riesgoso,1,0.7311158974769332
27,14795.4,61945.48,60,0,1032.42,6.98,Confiable,0,0.984865155627277
31,8325.98,98170.26,60,1,1636.17,19.65,Confiable,0,0.5055306234797176
51,7507.77,86348.99,36,1,2398.58,31.95,Confiable,0,0.444907521633114
36,13402.36,79543.83,36,4,2209.55,16.49,Riesgoso,0,0.881651548122611
58,13696.28,9419.09,48,0,196.23,1.43,Confiable,0,0.9034287716896094
56,2475.96,54136.29,36,0,1503.79,60.74,Confiable,0,0.0720888930380605
36,11874.98,59525.71,48,3,1240.12,10.44,Riesgoso,0,0.7684843742938072
47,6763.5,16580.08,48,4,345.42,5.11,Riesgoso,1,0.389762808159346
29,13992.6,45081.17,24,2,1878.38,13.42,Riesgoso,0,0.9253838168970568
30,8885.19,43395.51,60,3,723.26,8.14,Riesgoso,1,0.5469638066278572
28,12862.52,28026.46,12,4,2335.54,18.16,Riesgoso,1,0.841653533797596
22,9415.84,48757.12,36,2,1354.36,14.38,Riesgoso,1,0.5862809122546524
31,13233.73,55072.83,60,1,917.88,6.94,Confiable,0,0.8691573551105569
50,12654.3,55740.25,36,1,1548.34,12.24,Confiable,0,0.8262260246416337
43,8129.26,41087.0,12,3,3423.92,42.12,Riesgoso,1,0.4909551763509073
28,6046.86,70163.88,60,4,1169.4,19.34,Riesgoso,1,0.3366652663212481
47,6183.24,96108.6,12,3,8009.05,129.53,Riesgoso,1,0.3467699810397676
24,11708.93,58969.27,36,1,1638.04,13.99,Confiable,0,0.756181339545236
62,14761.93,72060.96,12,2,6005.08,40.68,Riesgoso,0,0.9823852846665141
44,4528.71,82102.43,36,1,2280.62,50.36,Confiable,1,0.22418196488467154
28,5810.67,17767.6,48,3,370.16,6.37,Riesgoso,0,0.3191653941305522
31,2623.81,65865.87,12,3,5488.82,209.19,Riesgoso,1,0.08304344701322622
42,11666.53,5472.17,60,1,91.2,0.78,Confiable,0,0.7530398238973022
43,10086.88,13317.5,24,2,554.9,5.5,Riesgoso,0,0.6359998429242175
36,4498.22,61412.3,36,2,1705.9,37.92,Riesgoso,1,0.22192288912746627
25,3590.35,41786.8,36,1,1160.74,32.33,Confiable,0,0.1546566671630854
44,11749.34,12015.18,48,2,250.32,2.13,Riesgoso,0,0.7591754114162975
36,9129.82,12781.51,60,3,213.03,2.33,Riesgoso,1,0.5650890182541323
25,14287.9,97684.62,48,0,2035.1,14.24,Confiable,0,0.9472632879073134
42,11724.8,29948.66,48,1,623.93,5.32,Confiable,0,0.7573571851427056
60,8567.52,40451.33,60,4,674.19,7.87,Riesgoso,1,0.5234268897439146
23,2768.36,37556.41,24,3,1564.85,56.53,Riesgoso,1,0.09375349623277446
36,2082.41,48650.0,24,0,2027.08,97.34,Confiable,0,0.04292984862191932
43,13188.91,18849.41,60,2,314.16,2.38,Riesgoso,0,0.8658365359751702
57,13261.29,18750.74,24,4,781.28,5.89,Riesgoso,0,0.871199340281714
42,4404.03,29693.83,12,0,2474.49,56.19,Confiable,0,0.2149441306633414
48,3930.15,16873.11,24,4,703.05,17.89,Riesgoso,1,0.17983324775666887
60,9271.43,7175.22,12,1,597.94,6.45,Confiable,0,0.5755812359641305
60,5620.85,69216.04,60,0,1153.6,20.52,Confiable,0,0.30510118421803306
42,7804.87,26290.6,48,2,547.72,7.02,Riesgoso,0,0.46692035887370736
48,3346.04,92930.15,36,3,2581.39,77.15,Riesgoso,1,0.13655516508887006
53,2536.32,20274.87,60,3,337.91,13.32,Riesgoso,0,0.07656110729535509
58,10141.95,20650.16,12,1,1720.85,16.97,Confiable,0,0.6400801086490223
33,6531.06,85619.79,12,4,7134.98,109.25,Riesgoso,1,0.3725407822818518
41,9795.94,40676.81,36,3,1129.91,11.53,Riesgoso,1,0.6144434145607769
27,6090.15,76426.15,24,2,3184.42,52.29,Riesgoso,1,0.3398727241608485
40,9639.99,83812.11,36,1,2328.11,24.15,Confiable,0,0.6028887125490954
42,11409.61,93371.6,36,0,2593.66,22.73,Confiable,0,0.7340040172872272
56,3327.32,45444.78,48,1,946.77,28.45,Confiable,0,0.1351681562933672
60,8132.67,56458.19,24,3,2352.42,28.93,Riesgoso,1,0.49120783126504536
34,8990.04,46725.34,60,2,778.76,8.66,Riesgoso,0,0.5547323895449767
54,7120.88,93973.54,36,3,2610.38,36.66,Riesgoso,1,0.416241932269219
50,9138.12,57467.35,24,2,2394.47,26.2,Riesgoso,0,0.5657039847606855
27,12551.55,32935.14,60,2,548.92,4.37,Riesgoso,0,0.8186130356599072
30,8415.58,90409.5,12,1,7534.12,89.53,Confiable,0,0.5121692980564836
45,9040.56,56421.08,36,4,1567.25,17.34,Riesgoso,1,0.5584755350764299
52,7468.48,47269.64,60,3,787.83,10.55,Riesgoso,0,0.44199643319426196
34,13967.74,52635.25,60,2,877.25,6.28,Riesgoso,0,0.923541881071405
27,8328.94,67212.58,12,3,5601.05,67.25,Riesgoso,0,0.5057499368362715
44,3304.39,54996.76,12,3,4583.06,138.7,Riesgoso,1,0.1334692187035765
64,7741.21,56382.82,48,2,1174.64,15.17,Riesgoso,0,0.46220363986079527
55,5317.87,10835.5,24,3,451.48,8.49,Riesgoso,1,0.28265268395833937
23,4502.71,63200.8,60,2,1053.35,23.39,Riesgoso,0,0.22225556377980643
22,1853.61,77890.61,12,3,6490.88,350.18,Riesgoso,1,0.025977518899106218
27,3040.12,65148.41,12,1,5429.03,178.58,Confiable,1,0.11388883331962624
32,9268.94,50759.23,60,0,845.99,9.13,Confiable,0,0.5753967460121645
32,8811.37,67061.3,36,3,1862.81,21.14,Riesgoso,1,0.5414943093370439
59,11389.12,39849.98,24,1,1660.42,14.58,Confiable,0,0.7324858650318931
64,12449.59,58291.03,12,0,4857.59,39.02,Confiable,0,0.8110585796348284
63,10187.11,11620.72,36,4,322.8,3.17,Riesgoso,1,0.6434261191834727
39,1645.3,9539.49,48,1,198.74,12.08,Confiable,0,0.010543341431627206
47,3144.76,6729.03,48,3,140.19,4.46,Riesgoso,1,0.12164185684320653
53,11472.54,17819.1,36,4,494.98,4.31,Riesgoso,1,0.7386666488845027
64,9794.62,63498.9,48,0,1322.89,13.51,Confiable,0,0.6143456126585299
56,6395.77,59895.68,36,3,1663.77,26.01,Riesgoso,1,0.3625168282250363
27,3053.51,98654.87,12,0,8221.24,269.24,Confiable,1,0.1148809298886318
42,7680.27,80875.38,36,2,2246.54,29.25,Riesgoso,0,0.4576884520403922
49,3993.97,23140.0,12,0,1928.33,48.28,Confiable,0,0.18456182154561088
26,2756.32,31290.21,60,2,521.5,18.92,Riesgoso,0,0.09286142433652154
40,10542.87,30765.89,36,3,854.61,8.11,Riesgoso,1,0.6697852136860426
55,10736.19,17740.69,60,0,295.68,2.75,Confiable,0,0.6841087468242166
55,2895.13,99782.32,36,2,2771.73,95.74,Riesgoso,0,0.10314618346599569
59,3926.49,41674.72,36,2,1157.63,29.48,Riesgoso,0,0.17956206975498398
62,10278.24,5241.29,36,4,145.59,1.42,Riesgoso,1,0.6501781550560249
39,4770.42,51548.55,36,2,1431.9,30.02,Riesgoso,0,0.2420908268484004
45,3529.09,52691.36,36,2,1463.65,41.47,Riesgoso,0,0.15011776979062244
28,13257.39,88829.33,24,2,3701.22,27.92,Riesgoso,1,0.8709103801159841
63,12222.23,70732.05,36,0,1964.78,16.08,Confiable,0,0.7942129428962847
63,9878.81,78723.44,60,1,1312.06,13.28,Confiable,0,0.6205834476207834
40,10292.44,82445.87,48,4,1717.62,16.69,Riesgoso,1,0.6512302664286821
32,2228.45,61189.34,48,4,1274.78,57.2,Riesgoso,1,0.05375029544324636
58,3574.02,92801.16,24,0,3866.72,108.19,Confiable,0,0.15344673908452974
29,11097.63,48795.73,48,3,1016.58,9.16,Riesgoso,0,0.7108886858758493
32,4583.97,53372.01,12,2,4447.67,97.03,Riesgoso,1,0.22827630815601183
57,2023.12,29992.39,12,1,2499.37,123.54,Confiable,1,0.038536913179324964
55,3373.75,41099.2,12,1,3424.93,101.52,Confiable,1,0.13860826411255517
37,10836.7,57323.45,36,4,1592.32,14.69,Riesgoso,1,0.6915557689415242
34,2259.65,82296.13,12,1,6858.01,303.5,Confiable,1,0.05606197676908453
52,14452.61,92879.03,24,2,3869.96,26.78,Riesgoso,0,0.9594670389066341
28,14620.46,74884.82,12,2,6240.4,42.68,Riesgoso,0,0.9719034398855421
29,13791.41,58025.96,36,0,1611.83,11.69,Confiable,0,0.9104771769629101
61,8483.04,97702.93,36,1,2713.97,31.99,Confiable,0,0.5171675680001068
56,13242.39,93177.05,24,4,3882.38,29.32,Riesgoso,1,0.8697989948631774
64,7022.41,33690.48,24,2,1403.77,19.99,Riesgoso,0,0.40894605854629323
47,12998.33,74144.22,24,3,3089.34,23.77,Riesgoso,0,0.8517160158765088
45,5461.66,57983.24,12,1,4831.94,88.47,Confiable,1,0.29330642299174536
31,6539.61,67779.25,36,4,1882.76,28.79,Riesgoso,1,0.3731742718759516
50,1976.84,98298.74,24,3,4095.78,207.19,Riesgoso,1,0.03510791921266505
62,7130.08,6856.4,48,1,142.84,2.0,Confiable,0,0.4169235818909405
40,10627.78,29314.01,48,1,610.71,5.75,Confiable,0,0.6760763951404309
25,12878.95,32926.93,36,0,914.64,7.1,Confiable,0,0.8428708711111704
58,6794.22,48912.21,36,2,1358.67,20.0,Riesgoso,0,0.3920389251570943
48,2552.35,11415.25,24,1,475.64,18.64,Confiable,0,0.0777488076688546
59,2019.01,58459.36,48,4,1217.9,60.32,Riesgoso,1,0.038232393620055906
50,5006.26,37777.43,12,2,3148.12,62.88,Riesgoso,1,0.25956476671653084
21,14298.68,79142.46,60,0,1319.04,9.22,Confiable,0,0.9480620034423306
34,12639.83,27321.21,60,1,455.35,3.6,Confiable,0,0.8251539083344261
53,7331.39,72805.81,12,0,6067.15,82.76,Confiable,0,0.4318391129071097
35,10896.19,68797.78,60,1,1146.63,10.52,Confiable,0,0.6959635228541559
23,3829.86,8224.36,12,4,685.36,17.9,Riesgoso,1,0.1724025259564026
39,5548.78,22961.54,36,0,637.82,11.49,Confiable,0,0.29976134854004727
29,2303.88,43021.43,24,0,1792.56,77.81,Confiable,0,0.05933908141786086
34,9691.37,15468.54,60,3,257.81,2.66,Riesgoso,0,0.6066955775017098
49,3131.06,86854.39,48,2,1809.47,57.79,Riesgoso,1,0.12062679164564295
51,9600.01,76022.49,12,0,6335.21,65.99,Confiable,0,0.5999265003886144
26,12034.26,86972.9,48,0,1811.94,15.06,Confiable,0,0.7802858038316118
49,4768.6,33152.11,48,4,690.67,14.48,Riesgoso,1,0.24195597877105984
38,13853.25,61160.43,60,2,1019.34,7.36,Riesgoso,0,0.9150590478984816
26,3834.68,41170.96,48,4,857.73,22.37,Riesgoso,1,0.1727596510843045
55,8116.73,18360.16,12,1,1530.01,18.85,Confiable,0,0.49002679920306264
32,13946.19,59388.59,48,4,1237.26,8.87,Riesgoso,0,0.9219451909248726
34,5148.81,76880.8,36,2,2135.58,41.48,Riesgoso,0,0.27012663123570485
24,5977.81,96254.96,12,4,8021.25,134.18,Riesgoso,1,0.3315491895408275
47,10362.79,96511.53,36,3,2680.88,25.87,Riesgoso,0,0.656442663264346
40,9987.03,62058.36,48,2,1292.88,12.95,Riesgoso,0,0.6286017217580336
52,3420.07,37887.97,48,0,789.33,23.08,Confiable,0,0.1420402217732226
59,11581.74,52238.48,24,0,2176.6,18.79,Confiable,0,0.7467575335249361
34,13261.77,5943.63,60,4,99.06,0.75,Riesgoso,1,0.8712349046098038
40,11447.29,80870.17,36,2,2246.39,19.62,Riesgoso,1,0.7367958170422779
38,14934.46,47880.1,12,0,3990.01,26.72,Confiable,0,0.9951684378442979
